Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
75722,Sales,Other,31,Manager,2024-03-23 08:03:05.556036,0,Master,2,7200.0,60,18,24,8,75,5,9,0,4.59,False
80185,Sales,Male,50,Engineer,2024-09-02 08:03:05.556036,0,High School,4,8400.0,44,19,5,12,0,13,90,1,4.83,False
19865,Sales,Female,29,Manager,2015-09-28 08:03:05.556036,8,High School,3,7800.0,33,18,19,5,75,16,53,0,2.23,True
76700,Marketing,Female,24,Analyst,2022-08-13 08:03:05.556036,2,Master,1,4400.0,33,35,26,0,0,18,68,0,4.88,True
92992,Operations,Male,40,Technician,2015-02-10 08:03:05.556036,9,Bachelor,4,4900.0,37,1,21,7,0,1,88,1,3.68,False
76435,Sales,Female,34,Specialist,2023-11-29 08:03:05.556036,0,Bachelor,3,5850.0,51,6,3,14,50,4,23,0,4.46,False
84005,Customer Support,Male,28,Developer,2016-07-07 08:03:05.556036,8,Bachelor,5,7500.0,47,48,14,6,75,17,61,0,4.66,False
80918,Legal,Male,46,Specialist,2022-07-21 08:03:05.556036,2,High School,3,5850.0,55,49,0,14,100,11,44,2,1.58,False
60768,Finance,Female,27,Developer,2023-02-16 08:03:05.556036,1,Bachelor,4,7000.0,40,15,7,8,50,3,47,0,4.39,True
50075,IT,Male,47,Technician,2016-03-29 08:03:05.556036,8,Bachelor,2,4200.0,55,3,9,12,100,13,18,0,3.09,True
27702,Sales,Female,43,Developer,2020-07-18 08:03:05.556036,4,High School,1,5500.0,56,3,19,2,25,7,64,0,2.61,False
42142,IT,Female,51,Technician,2020-05-23 08:03:05.556036,4,Bachelor,1,3850.0,36,7,22,9,75,5,4,1,3.72,False
45081,HR,Male,43,Manager,2017-10-05 08:03:05.556036,6,Bachelor,5,9000.0,38,45,1,10,50,4,96,2,1.16,False
16639,IT,Female,51,Manager,2022-01-15 08:03:05.556036,2,Bachelor,2,7200.0,37,17,29,6,75,4,75,2,4.15,False
20425,Operations,Female,54,Consultant,2018-04-05 08:03:05.556036,6,High School,1,6050.0,52,32,8,0,0,15,77,2,4.2,False
88703,Operations,Female,55,Developer,2023-02-17 08:03:05.556036,1,Bachelor,5,7500.0,43,10,24,1,75,5,6,1,3.65,True
150,Finance,Female,55,Analyst,2021-03-19 08:03:05.556036,3,Bachelor,1,4400.0,57,17,21,12,100,6,92,0,3.0,False
1762,Sales,Male,39,Analyst,2018-12-02 08:03:05.556036,5,Bachelor,3,5200.0,50,0,12,1,25,11,84,1,1.96,False
63121,Sales,Male,45,Technician,2022-04-29 08:03:05.556036,2,High School,1,3850.0,41,39,17,11,0,6,47,0,1.67,False
69162,Customer Support,Female,55,Analyst,2019-10-02 08:03:05.556036,4,PhD,4,5600.0,32,32,18,3,0,10,93,2,2.97,False
64884,Marketing,Female,25,Engineer,2022-12-05 08:03:05.556036,1,Master,4,8400.0,43,36,0,10,0,14,15,2,4.0,False
2496,HR,Female,45,Manager,2015-11-26 08:03:05.556036,8,Master,1,6600.0,49,25,29,10,25,19,71,1,1.32,False
80297,HR,Female,31,Technician,2020-03-06 08:03:05.556036,4,Bachelor,2,4200.0,43,33,13,10,75,8,63,0,4.39,False
19448,Finance,Female,35,Specialist,2015-09-18 08:03:05.556036,8,Bachelor,2,5400.0,56,37,1,9,0,16,73,1,2.52,False
41332,IT,Male,24,Manager,2018-05-03 08:03:05.556036,6,Bachelor,4,8400.0,58,6,12,7,50,19,75,2,4.34,False
14889,HR,Female,43,Technician,2016-04-07 08:03:05.556036,8,Bachelor,3,4550.0,34,6,25,10,25,9,74,2,1.74,False
88637,Legal,Female,57,Manager,2016-06-08 08:03:05.556036,8,High School,4,8400.0,52,21,25,0,0,3,37,1,1.33,False
94893,Operations,Female,50,Technician,2018-06-12 08:03:05.556036,6,Bachelor,2,4200.0,59,10,7,5,25,12,26,2,2.98,False
92732,Customer Support,Female,32,Consultant,2018-11-08 08:03:05.556036,5,Bachelor,2,6600.0,37,0,19,14,50,3,57,0,1.1,True
29131,Legal,Female,60,Engineer,2024-05-05 08:03:05.556036,0,High School,5,9000.0,34,28,16,5,0,3,39,2,4.93,False
79023,Sales,Female,23,Engineer,2019-09-21 08:03:05.556036,4,Bachelor,1,6600.0,54,14,28,13,50,17,26,0,1.12,False
84937,Operations,Female,30,Manager,2023-09-30 08:03:05.556036,0,Bachelor,5,9000.0,46,31,7,1,0,6,72,2,3.79,False
16822,Finance,Male,41,Consultant,2022-01-30 08:03:05.556036,2,Bachelor,4,7700.0,60,27,4,4,25,9,76,1,2.15,False
36734,Operations,Female,49,Consultant,2020-11-19 08:03:05.556036,3,Bachelor,4,7700.0,35,11,16,1,50,17,83,1,3.92,False
15603,Finance,Female,24,Analyst,2016-08-01 08:03:05.556036,8,Bachelor,2,4800.0,50,10,6,8,25,5,97,1,1.41,False
28534,Customer Support,Other,52,Technician,2017-07-24 08:03:05.556036,7,High School,3,4550.0,52,12,0,3,50,14,29,2,2.73,False
69770,Finance,Male,56,Developer,2015-10-20 08:03:05.556036,8,High School,5,7500.0,45,13,28,13,25,6,0,0,1.62,False
11406,HR,Female,56,Consultant,2018-11-19 08:03:05.556036,5,High School,2,6600.0,51,15,23,4,0,13,70,2,4.06,False
96853,HR,Male,34,Developer,2015-04-11 08:03:05.556036,9,Bachelor,2,6000.0,60,30,29,9,75,12,54,1,3.93,False
16131,Sales,Male,44,Analyst,2014-12-22 08:03:05.556036,9,Master,2,4800.0,59,49,15,14,75,19,15,1,3.51,False
19793,HR,Male,27,Manager,2016-11-23 08:03:05.556036,7,High School,5,9000.0,44,2,0,7,50,3,15,1,4.07,False
89578,Engineering,Male,56,Consultant,2016-02-18 08:03:05.556036,8,Bachelor,5,8250.0,34,7,25,5,25,11,19,1,3.6,False
40164,Engineering,Male,40,Consultant,2023-02-23 08:03:05.556036,1,Master,4,7700.0,52,2,15,14,75,16,55,1,4.08,True
31777,Customer Support,Male,36,Engineer,2024-07-26 08:03:05.556036,0,High School,5,9000.0,60,47,20,12,75,4,49,0,2.54,True
25331,Customer Support,Female,41,Analyst,2021-03-02 08:03:05.556036,3,Bachelor,2,4800.0,56,48,19,4,0,19,91,1,3.12,False
